"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
110,9.994,-126.108702353637
110,9.995,-126.881998602196
110,9.996,-127.65564092475
110,9.997,-128.429595184032
110,9.998,-129.203827131218
110,9.999,-129.978302410378
110,10,-130.752986562986
110,10.001,-131.527845032514
110,10.002,-132.302843169104
110,10.003,-133.077946234321
110,10.004,-133.853119406021
110,10.005,-134.628327783297
110,10.006,-135.403536391552
110,10.007,-136.178710187682
110,10.008,-136.953814065377
110,10.009,-137.728812860548
110,10.01,-138.503671356898
110,10.011,-139.278354291619
110,10.012,-140.052826361228
110,10.013,-140.827052227573
110,10.014,-141.600996523963
110,10.015,-142.374623861467
110,10.016,-143.14789883537
110,10.017,-143.92078603179
110,10.018,-144.69325003445
110,10.019,-145.465255431623
110,10.02,-146.236766823237
110,10.021,-147.007748828154
110,10.022,-147.778166091593
110,10.023,-148.547983292752
110,10.024,-149.317165152558
110,10.025,-150.085676441604
110,10.026,-150.853481988233
110,10.027,-151.620546686781
110,10.028,-152.38683550597
110,10.029,-153.152313497457
110,10.03,-153.916945804512
110,10.031,-154.68069767085
110,10.032,-155.443534449572
110,10.033,-156.205421612259
110,10.034,-156.966324758158
110,10.035,-157.726209623494
110,10.036,-158.485042090869
110,10.037,-159.242788198769
110,10.038,-159.99941415114
110,10.039,-160.754886327049
110,10.04,-161.509171290398
110,10.041,-162.262235799694
110,10.042,-163.014046817866
110,10.043,-163.764571522104
110,10.044,-164.513777313723
110,10.045,-165.261631828028
110,10.046,-166.00810294418
110,10.047,-166.753158795038
110,10.048,-167.496767776975
110,10.049,-168.238898559653
110,10.05,-168.979520095737
120,9.95,141.395354195044
120,9.951,140.649266633623
120,9.952,139.901568886189
120,9.953,139.152289183943
120,9.954,138.401456036873
120,9.955,137.649098226794
120,9.956,136.89524480041
120,9.957,136.139925062371
120,9.958,135.383168568378
120,9.959,134.625005118317
120,9.96,133.865464749434
120,9.961,133.104577729571
120,9.962,132.342374550461
120,9.963,131.578885921091
120,9.964,130.814142761143
120,9.965,130.048176194524
120,9.966,129.281017542981
120,9.967,128.512698319807
120,9.968,127.743250223662
120,9.969,126.97270513249
120,9.97,126.201095097546
120,9.971,125.428452337543
120,9.972,124.65480923291
120,9.973,123.880198320172
120,9.974,123.104652286452
120,9.975,122.328203964088
120,9.976,121.550886325386
120,9.977,120.772732477476
120,9.978,119.993775657309
120,9.979,119.214049226762
120,9.98,118.433586667864
120,9.981,117.652421578136
120,9.982,116.87058766605
120,9.983,116.088118746584
120,9.984,115.305048736893
120,9.985,114.521411652071
120,9.986,113.737241601011
120,9.987,112.952572782347
120,9.988,112.16743948048
120,9.989,111.381876061682
120,9.99,110.595916970258
120,9.991,109.80959672477
120,9.992,109.022949914316
120,9.993,108.236011194843
120,9.994,107.448815285501
120,9.995,106.661396965011
120,9.996,105.873791068061
120,9.997,105.086032481694
120,9.998,104.2981561417
120,9.999,103.51019702899
120,10,102.722190165951
120,10.001,101.934170612758
120,10.002,101.146173463654
120,10.003,100.358233843166
120,10.004,99.5703869022657
120,10.005,98.7826678144547
120,10.006,97.9951117717692
120,10.007,97.2077539806916
120,10.008,96.4206296579637
120,10.009,95.6337740262988
120,10.01,94.8472223099626
120,10.011,94.0610097302443
120,10.012,93.2751715007977
120,10.013,92.4897428228254
120,10.014,91.7047588801415
120,10.015,90.9202548340729
120,10.016,90.1362658182052
120,10.017,89.3528269329703
