"interElementDistance [mm]","Freq [GHz]","cang_deg(St(port2_T1,port1_T1)) [deg]"
164,9.979,-38.4658079433032
164,9.98,-39.2967759214382
164,9.981,-40.1284862726832
164,9.982,-40.9609053644849
164,9.983,-41.7939995264687
164,9.984,-42.6277350503222
164,9.985,-43.4620781893921
164,9.986,-44.2969951579945
164,9.987,-45.1324521304745
164,9.988,-45.9684152400086
164,9.989,-46.8048505771902
164,9.99,-47.6417241884023
164,9.991,-48.4790020740021
164,9.992,-49.3166501863439
164,9.993,-50.1546344276494
164,9.994,-50.9929206477597
164,9.995,-51.8314746417848
164,9.996,-52.6702621476716
164,9.997,-53.5092488437257
164,9.998,-54.3484003460948
164,9.999,-55.1876822062504
164,10,-56.0270599084836
164,10.001,-56.8664988674498
164,10.002,-57.7059644257749
164,10.003,-58.5454218517536
164,10.004,-59.3848363371684
164,10.005,-60.224172995243
164,10.006,-61.0633968587612
164,10.007,-61.902472878377
164,10.008,-62.7413659211327
164,10.009,-63.5800407692031
164,10.01,-64.4184621189111
164,10.011,-65.2565945800049
164,10.012,-66.0944026752298
164,10.013,-66.9318508402377
164,10.014,-67.7689034238065
164,10.015,-68.6055246884257
164,10.016,-69.4416788112502
164,10.017,-70.277329885439
164,10.018,-71.1124419218912
164,10.019,-71.9469788513973
164,10.02,-72.7809045272173
164,10.021,-73.6141827280949
164,10.022,-74.4467771617089
164,10.023,-75.2786514685956
164,10.024,-76.1097692265108
164,10.025,-76.9400939552744
164,10.026,-77.7695891220763
164,10.027,-78.5982181472538
164,10.028,-79.4259444105429
164,10.029,-80.2527312578031
164,10.03,-81.0785420082106
164,10.031,-81.9033399619161
164,10.032,-82.7270884081576
164,10.033,-83.549750633847
164,10.034,-84.3712899325785
164,10.035,-85.1916696140902
164,10.036,-86.0108530141418
164,10.037,-86.8288035048092
164,10.038,-87.6454845051798
164,10.039,-88.4608594924308
164,10.04,-89.2748920132733
164,10.041,-90.0875456957497
164,10.042,-90.8987842613659
164,10.043,-91.7085715375299
164,10.044,-92.51687147029
164,10.045,-93.3236481373354
164,10.046,-94.1288657612537
164,10.047,-94.9324887230058
164,10.048,-95.734481575605
164,10.049,-96.5348090579741
164,10.05,-97.3334361089522
165,9.95,-22.544985684026
165,9.951,-23.3348165023142
165,9.952,-24.126481125744
165,9.953,-24.9199505308526
165,9.954,-25.715195468545
165,9.955,-26.5121864729585
165,9.956,-27.3108938701649
165,9.957,-28.1112877867115
165,9.958,-28.9133381579564
165,9.959,-29.7170147361991
165,9.96,-30.5222870985873
165,9.961,-31.3291246547756
165,9.962,-32.1374966543303
165,9.963,-32.9473721938616
165,9.964,-33.7587202238668
165,9.965,-34.5715095552787
165,9.966,-35.3857088656961
165,9.967,-36.2012867053059
165,9.968,-37.0182115024606
165,9.969,-37.8364515689216
165,9.97,-38.6559751047574
165,9.971,-39.4767502028823
165,9.972,-40.298744853243
165,9.973,-41.1219269466351
165,9.974,-41.9462642781601
165,9.975,-42.7717245503133
165,9.976,-43.5982753757006
165,9.977,-44.4258842793996
165,9.978,-45.2545187009451
165,9.979,-46.0841459959652
165,9.98,-46.9147334374571
165,9.981,-47.7462482167159
165,9.982,-48.5786574439251
165,9.983,-49.4119281484159
165,9.984,-50.2460272786022
165,9.985,-51.0809217016115
165,9.986,-51.9165782026122
165,9.987,-52.752963483869
165,9.988,-53.5900441635189
165,9.989,-54.4277867741057
165,9.99,-55.2661577608748
165,9.991,-56.1051234798535
165,9.992,-56.9446501957389
165,9.993,-57.7847040796034
165,9.994,-58.6252512064511
165,9.995,-59.4662575526386
165,9.996,-60.3076889931818
165,9.997,-61.1495112989852
165,9.998,-61.991690133998
165,9.999,-62.8341910523361
165,10,-63.6769794953878
165,10.001,-64.5200207889343
165,10.002,-65.3632801403028
165,10.003,-66.2067226355819
165,10.004,-67.0503132369298
165,10.005,-67.8940167799896
165,10.006,-68.7377979714479
165,10.007,-69.5816213867597
165,10.008,-70.4254514680633
165,10.009,-71.2692525223033
165,10.01,-72.11298871961
165,10.011,-72.956624091929
165,10.012,-73.8001225319378
165,10.013,-74.643447792293
165,10.014,-75.4865634851876
165,10.015,-76.3294330822746
165,10.016,-77.1720199149665
165,10.017,-78.0142871751269
165,10.018,-78.8561979161742
165,10.019,-79.6977150546175
165,10.02,-80.5388013720416
165,10.021,-81.379419517552
165,10.022,-82.2195320106888
165,10.023,-83.0591012448439
165,10.024,-83.8980894911572
165,10.025,-84.736458902936
165,10.026,-85.5741715205836
165,10.027,-86.4111892770483
165,10.028,-87.2474740038004
165,10.029,-88.0829874373416
165,10.03,-88.9176912262425
165,10.031,-89.7515469387112
165,10.032,-90.5845160706843
165,10.033,-91.4165600544631
165,10.034,-92.2476402678466
165,10.035,-93.0777180437932
165,10.036,-93.9067546805802
165,10.037,-94.7347114524602
165,10.038,-95.5615496208028
165,10.039,-96.3872304457042
165,10.04,-97.2117151980506
165,10.041,-98.0349651720219
165,10.042,-98.8569416980199
165,10.043,-99.6776061559922
165,10.044,-100.496919989145
165,10.045,-101.31484471801
165,10.046,-102.131341954853
165,10.047,-102.946373418398
165,10.048,-103.759900948829
165,10.049,-104.571886523072
165,10.05,-105.382292270297
166,9.95,-37.8656881181941
